,인기곡 평균,비인기곡 평균,평균 차이,인기도 상관계수
acousticness,0.14712203343857633,0.1946233997678519,-0.04750136632927557,-0.14353677318671682
danceability,0.655823880597015,0.6227545401116662,0.03306934048534882,0.12457743758730931
energy,0.7716381171067739,0.7459361622098148,0.025701954896959034,0.12373977264651922
instrumentalness,0.02200810943455798,0.09380737157508082,-0.07179926214052283,-0.2330597402300727
liveness,0.19662505740528127,0.30856976197472813,-0.11194470456944686,-0.2090627913537875
loudness,-4.394127152698048,-5.980226858654128,1.5860997059560802,0.3472828110751471
speechiness,0.093902812858783,0.09928078166323832,-0.005377968804455319,-0.04544982710196928
tempo,123.18074712973593,121.39983279459301,1.7809143351429242,0.03207994397451718
valence,0.55639598163031,0.5098941522186305,0.04650182941167946,0.12431818136866257
