track_id,track_name,artist_name,album_name,year,popularity,danceability,energy,acousticness,instrumentalness,liveness,loudness,speechiness,tempo,valence,key,mode,time_signature,duration_min,popularity_group
74Mj5sHboQ4o9Zo7Y5WVft,FEELING - [BIGBANG JAPAN DOME TOUR 2017 -LAST DANCE-],BIGBANG,BIGBANG JAPAN DOME TOUR 2017 -LAST DANCE-,2018,15,0.459,0.954,0.0638,0.0,0.974,-5.074,0.222,126.818,0.498,11.0,0.0,4.0,4.118666666666667,비인기곡
4GJOtpnNkqbTMddCajjrau,FANTASTIC BABY - [BIGBANG JAPAN DOME TOUR 2017 -LAST DANCE-],BIGBANG,BIGBANG JAPAN DOME TOUR 2017 -LAST DANCE-,2018,21,0.415,0.945,0.0138,0.0,0.762,-3.017,0.215,129.647,0.28,2.0,1.0,4.0,4.24645,비인기곡
7dVs1oS7CShbWC3Of58JlL,FEELING - BIGBANG SPECIAL EVENT 2017,BIGBANG,BIGBANG SPECIAL EVENT 2017,2018,12,0.567,0.942,0.22,0.0,0.361,-4.294,0.125,127.022,0.505,11.0,0.0,4.0,3.6093333333333333,비인기곡
00LVGq9hkKK4aP5i9Z14nj,LOSER - [BIGBANG JAPAN DOME TOUR 2017 -LAST DANCE-],BIGBANG,BIGBANG JAPAN DOME TOUR 2017 -LAST DANCE-,2018,18,0.286,0.877,0.296,0.0,0.971,-4.048,0.13,90.197,0.372,3.0,1.0,4.0,4.062883333333334,비인기곡
0klb2vxJ2ht87NyP2cPlio,LOSER - BIGBANG SPECIAL EVENT 2017,BIGBANG,BIGBANG SPECIAL EVENT 2017,2018,15,0.393,0.866,0.491,0.0,0.625,-4.405,0.147,180.172,0.627,3.0,1.0,4.0,3.608,비인기곡
1neHDuop44u74OREakrpTJ,WE LIKE 2 PARTY - KR Ver. [BIGBANG JAPAN DOME TOUR 2017 -LAST DANCE-],BIGBANG,BIGBANG JAPAN DOME TOUR 2017 -LAST DANCE-,2018,19,0.408,0.967,0.19,0.0,0.381,-3.638,0.203,89.13,0.492,4.0,1.0,4.0,3.6506666666666665,비인기곡
1Tt1fO7HfvPeQ1LOQFfC86,BAE BAE - KR Ver. [BIGBANG JAPAN DOME TOUR 2017 -LAST DANCE-],BIGBANG,BIGBANG JAPAN DOME TOUR 2017 -LAST DANCE-,2018,16,0.479,0.815,0.052,0.0,0.957,-4.843,0.0473,139.852,0.432,0.0,1.0,4.0,1.99355,비인기곡
6QSOFd0GsAak8g475qvaIg,BANG BANG BANG - [BIGBANG JAPAN DOME TOUR 2017 -LAST DANCE-],BIGBANG,BIGBANG JAPAN DOME TOUR 2017 -LAST DANCE-,2018,22,0.415,0.933,0.00163,0.0,0.909,-5.285,0.138,135.001,0.279,1.0,1.0,4.0,3.85755,비인기곡
3hhZWoEqCsnYQSWQrCKNug,BLUE - [BIGBANG SPECIAL EVENT],BIGBANG,BIGBANG JAPAN DOME TOUR 2017 -LAST DANCE-,2018,19,0.536,0.812,0.395,0.0,0.955,-6.257,0.102,124.789,0.371,7.0,1.0,4.0,3.9286666666666665,비인기곡
4tsay6uWEzD3EcO7OHCU9x,IF YOU - [BIGBANG JAPAN DOME TOUR 2017 -LAST DANCE-],BIGBANG,BIGBANG JAPAN DOME TOUR 2017 -LAST DANCE-,2018,18,0.475,0.54,0.536,0.0,0.59,-6.522,0.0299,142.056,0.179,1.0,1.0,4.0,4.516216666666667,비인기곡
74xNledzihr6yzU422m6Jc,BAE BAE - KR Ver. BIGBANG SPECIAL EVENT 2017,BIGBANG,BIGBANG SPECIAL EVENT 2017,2018,14,0.537,0.806,0.00669,0.0,0.409,-4.857,0.0358,139.914,0.373,0.0,1.0,4.0,2.9097833333333334,비인기곡
6saTELyNTjW9WwmoCWpjsk,IF YOU,BIGBANG,MADE,2017,26,0.668,0.45,0.47,0.0,0.126,-5.882,0.0287,141.731,0.226,1.0,1.0,4.0,4.462,인기곡
2ZAPSXiwj5U7VwU26peDt2,LOSER,BIGBANG,MADE,2017,28,0.56,0.733,0.393,0.0,0.183,-4.247,0.0511,89.896,0.498,0.0,0.0,4.0,3.68245,인기곡
62LZJK8tUrH9m2ezc5U0vN,BANG BANG BANG,BIGBANG,MADE,2017,34,0.633,0.861,0.0093,0.0,0.324,-3.025,0.0421,134.987,0.521,1.0,1.0,4.0,3.7051166666666666,인기곡
6nrgWCby7MpEpbcRJxRRZ9,"EYES, NOSE, LIPS - Live",BIGBANG,BIGBANG10 THE CONCERT 0.TO.10 FINAL IN SEOUL,2017,22,0.51,0.647,0.32,0.0,0.465,-5.262,0.0325,143.915,0.232,0.0,1.0,4.0,4.761416666666666,비인기곡
7qNbhOwprI6rymWTl18aYG,LAST DANCE - Live,BIGBANG,BIGBANG10 THE CONCERT 0.TO.10 FINAL IN SEOUL,2017,20,0.519,0.718,0.636,0.0,0.835,-4.151,0.0543,143.82,0.271,1.0,0.0,4.0,4.6628,비인기곡
6w17ZLpTonbMfRRDdrofVj,BAD BOY - Live,BIGBANG,BIGBANG10 THE CONCERT 0.TO.10 FINAL IN SEOUL,2017,20,0.44,0.919,0.515,0.0,0.599,-3.435,0.122,75.04,0.452,7.0,1.0,4.0,4.219166666666666,비인기곡
3v9vnhacywFQGafqxWxUyl,BANG BANG BANG - Live,BIGBANG,BIGBANG10 THE CONCERT 0.TO.10 FINAL IN SEOUL,2017,21,0.561,0.968,0.124,0.0,0.408,-1.904,0.104,134.989,0.346,1.0,1.0,4.0,3.767916666666667,비인기곡
0zJ4e2KOoNZQrzQJPladQ1,FANTASTIC BABY - Live,BIGBANG,BIGBANG10 THE CONCERT 0.TO.10 FINAL IN SEOUL,2017,21,0.563,0.963,0.0444,0.0,0.953,-2.082,0.123,130.055,0.273,2.0,1.0,4.0,3.969116666666667,비인기곡
4bJXr7Cfyhxfo63rWfBQpq,SOBER - Live,BIGBANG,BIGBANG10 THE CONCERT 0.TO.10 FINAL IN SEOUL,2017,20,0.576,0.91,0.00902,0.0,0.76,-3.233,0.0765,130.001,0.321,0.0,1.0,4.0,6.2987166666666665,비인기곡
3uCouS3EbYTBPIXnBvrduf,LIES - Live,BIGBANG,BIGBANG10 THE CONCERT 0.TO.10 FINAL IN SEOUL,2017,19,0.601,0.96,0.321,0.0,0.924,-4.128,0.0547,125.006,0.519,3.0,0.0,4.0,2.63795,비인기곡
1QdpaBkjNApYmwYlDuWHik,LOSER - Live,BIGBANG,BIGBANG10 THE CONCERT 0.TO.10 FINAL IN SEOUL,2017,19,0.346,0.897,0.493,0.0,0.898,-3.658,0.12,90.774,0.325,3.0,1.0,4.0,3.98605,비인기곡
6iCrpFpnNJO7FY8Iu7z7Hf,FXXK IT - Live,BIGBANG,BIGBANG10 THE CONCERT 0.TO.10 FINAL IN SEOUL,2017,20,0.402,0.875,0.0575,0.0,0.966,-3.568,0.0985,120.013,0.374,0.0,0.0,4.0,7.551033333333334,비인기곡
00hHDWHG3MiE2OOUmve79F,IF YOU - Live,BIGBANG,BIGBANG10 THE CONCERT 0.TO.10 FINAL IN SEOUL,2017,18,0.615,0.559,0.681,0.0,0.551,-6.674,0.0288,141.746,0.222,1.0,1.0,4.0,4.8416,비인기곡
0rIG7kMITEho6EaWw14gCH,声をきかせて - BIGBANG10 THE CONCERT : 0.TO.10 -THE FINAL-,BIGBANG,BIGBANG10 THE CONCERT : 0.TO.10 -THE FINAL-,2017,19,0.556,0.902,0.0398,0.0,0.698,-4.808,0.0362,120.012,0.619,6.0,1.0,4.0,4.338,비인기곡
1zq8heBhjwmCnqx4RSZhb7,WE LIKE 2 PARTY - Live,BIGBANG,BIGBANG10 THE CONCERT 0.TO.10 FINAL IN SEOUL,2017,19,0.531,0.977,0.295,0.0,0.913,-2.489,0.0823,89.936,0.306,1.0,0.0,4.0,3.6046833333333335,비인기곡
45mMN0OSFF5Nv7hBmeOUQx,HEAVEN - Live,BIGBANG,BIGBANG10 THE CONCERT 0.TO.10 FINAL IN SEOUL,2017,19,0.511,0.966,0.342,0.0,0.946,-3.238,0.112,128.048,0.298,0.0,1.0,4.0,4.440016666666667,비인기곡
2oi5XbzyCuPgSEsWSqlT7S,LAST FAREWELL - Live,BIGBANG,BIGBANG10 THE CONCERT 0.TO.10 FINAL IN SEOUL,2017,16,0.541,0.963,0.03,0.0,0.627,-2.781,0.117,135.043,0.625,1.0,0.0,4.0,4.411216666666666,비인기곡
5IjUhFKkpy1ls0bSRDH3sN,BAE BAE - Live,BIGBANG,BIGBANG10 THE CONCERT 0.TO.10 FINAL IN SEOUL,2017,17,0.543,0.943,0.101,0.0,0.963,-2.217,0.0755,139.961,0.446,0.0,1.0,4.0,4.919816666666667,비인기곡
5Psu0hPbazevfmm8aJOFOi,FEELING - Live,BIGBANG,BIGBANG10 THE CONCERT 0.TO.10 FINAL IN SEOUL,2017,13,0.597,0.982,0.411,0.0,0.911,-1.989,0.103,126.939,0.485,11.0,0.0,4.0,2.0497833333333335,비인기곡
5PqP6yWoM4cdpDccJFc6TD,HARU HARU - Live,BIGBANG,BIGBANG10 THE CONCERT 0.TO.10 IN SEOUL,2017,15,0.525,0.739,0.382,0.0,0.725,-6.763,0.0464,126.011,0.502,6.0,1.0,4.0,5.1291,비인기곡
